work_days,age,sex,age_group
5,39,F,36-40
4,54,M,> 50
4,26,M,< 30
5,42,M,41-50
4,29,M,< 30
4,38,M,36-40
1,49,F,41-50
1,44,M,41-50
3,42,F,41-50
4,36,M,36-40
1,32,F,30-35
1,34,F,30-35
3,40,F,36-40
5,36,F,36-40
3,34,M,30-35
2,41,F,41-50
3,43,M,41-50
2,40,F,36-40
2,50,F,41-50
2,37,M,36-40
0,35,M,30-35
3,47,M,41-50
1,35,M,30-35
1,40,F,36-40
0,38,M,36-40
1,45,F,41-50
2,49,M,41-50
2,53,M,> 50
2,43,F,41-50
4,25,F,< 30
1,35,M,30-35
2,42,M,41-50
3,48,M,41-50
3,38,F,36-40
3,36,M,36-40
3,37,M,36-40
2,42,M,41-50
5,41,M,41-50
3,37,F,36-40
2,27,M,< 30
4,41,F,41-50
1,38,M,36-40
2,42,F,41-50
3,29,M,< 30
4,39,F,36-40
7,52,M,> 50
1,41,M,41-50
7,38,M,36-40
2,52,M,> 50
1,53,M,> 50
2,39,F,36-40
3,49,F,41-50
3,42,M,41-50
5,40,M,36-40
4,41,F,41-50
2,39,M,36-40
4,30,F,30-35
0,38,M,36-40
4,43,M,41-50
3,42,M,41-50
2,34,M,30-35
4,47,M,41-50
2,49,F,41-50
0,41,M,41-50
4,46,M,41-50
4,29,M,< 30
4,26,F,< 30
1,50,F,41-50
3,28,M,< 30
5,32,M,30-35
6,35,F,30-35
6,36,F,36-40
2,34,M,30-35
6,42,M,41-50
3,35,M,30-35
4,37,M,36-40
3,35,M,30-35
4,52,M,> 50
3,46,M,41-50
3,43,F,41-50
0,43,M,41-50
1,46,F,41-50
4,32,F,30-35
5,30,M,30-35
2,37,M,36-40
3,42,M,41-50
5,41,M,41-50
2,44,M,41-50
3,41,M,41-50
2,31,M,30-35
4,47,M,41-50
3,42,M,41-50
4,47,M,41-50
2,50,F,41-50
3,37,M,36-40
5,40,F,36-40
3,42,M,41-50
0,27,M,< 30
6,40,M,36-40
4,43,M,41-50
1,39,M,36-40
4,44,F,41-50
2,35,M,30-35
4,55,F,> 50
7,39,F,36-40
2,31,F,30-35
2,31,M,30-35
3,38,F,36-40
3,36,M,36-40
1,41,M,41-50
2,40,F,36-40
1,38,F,36-40
2,39,M,36-40
4,37,F,36-40
3,55,F,> 50
2,43,M,41-50
6,41,M,41-50
0,42,M,41-50
4,45,M,41-50
7,43,F,41-50
3,41,M,41-50
4,43,M,41-50
4,31,F,30-35
8,33,M,30-35
3,54,F,> 50
3,50,F,41-50
3,40,F,36-40
3,45,F,41-50
2,43,M,41-50
8,42,F,41-50
2,35,M,30-35
4,27,M,< 30
8,36,M,36-40
6,41,F,41-50
6,23,F,< 30
5,45,F,41-50
1,42,M,41-50
3,45,F,41-50
4,45,F,41-50
4,57,M,> 50
5,41,M,41-50
5,46,F,41-50
1,39,M,36-40
6,51,M,> 50
2,46,M,41-50
4,48,M,41-50
0,52,M,> 50
6,43,M,41-50
4,43,F,41-50
6,39,F,36-40
1,48,M,41-50
5,42,M,41-50
2,44,M,41-50
5,45,F,41-50
4,35,F,30-35
1,25,F,< 30
4,41,F,41-50
2,48,F,41-50
6,40,F,36-40
8,44,M,41-50
2,50,M,41-50
6,36,F,36-40
3,45,M,41-50
2,48,M,41-50
1,51,M,> 50
7,34,M,30-35
4,27,M,< 30
2,31,M,30-35
3,41,F,41-50
7,34,M,30-35
3,39,F,36-40
4,49,M,41-50
3,31,M,30-35
6,45,F,41-50
7,46,M,41-50
5,39,F,36-40
1,42,M,41-50
2,36,M,36-40
1,41,F,41-50
2,30,M,30-35
1,35,M,30-35
3,40,M,36-40
3,47,M,41-50
8,35,M,30-35
7,44,M,41-50
3,34,F,30-35
2,38,F,36-40
1,47,F,41-50
2,36,M,36-40
4,34,M,30-35
1,36,M,36-40
4,45,M,41-50
4,45,F,41-50
2,45,M,41-50
4,39,F,36-40
3,50,F,41-50
2,39,M,36-40
1,49,F,41-50
0,47,F,41-50
3,45,F,41-50
3,34,F,30-35
5,40,F,36-40
3,36,M,36-40
4,48,M,41-50
3,42,M,41-50
4,46,F,41-50
3,48,M,41-50
1,38,M,36-40
4,36,F,36-40
4,33,F,30-35
2,30,F,30-35
4,30,F,30-35
3,33,F,30-35
7,41,F,41-50
5,32,M,30-35
2,34,M,30-35
3,50,M,41-50
3,41,F,41-50
4,36,M,36-40
7,23,M,< 30
3,41,F,41-50
1,47,F,41-50
2,38,M,36-40
5,43,M,41-50
6,49,F,41-50
3,43,F,41-50
1,24,F,< 30
3,33,M,30-35
3,41,M,41-50
5,33,M,30-35
4,36,F,36-40
2,36,F,36-40
5,30,M,30-35
4,36,F,36-40
2,60,F,> 50
2,44,F,41-50
3,37,M,36-40
